date,start_time,Blue Note,Fat Cat (Cellar Dog),Dizzy's,Django,Mezzrow,Smalls,Village Vanguard
2021-11-15,07:30 PM, , , , ,"Spike Wilner, Tyler Mitchell  & Anthony Pinciotti",Joe Farnsworth  quintet, 
2021-11-15,08:00 PM,Dizzy Gillespie Afro-Latin Experience Residency, , , , , , VANGUARD JAZZ ORCHESTRA 
2021-11-15,09:00 PM, , , , ,"Spike Wilner, Tyler Mitchell  & Anthony Pinciotti",Joe Farnsworth  quintet, 
2021-11-15,10:00 PM, , , , , , , VANGUARD JAZZ ORCHESTRA 
2021-11-15,10:30 PM,Dizzy Gillespie Afro-Latin Experience Residency, , , ,Pasquale Grasso & Ari Roland,Miki Yamanaka Trio  & Jam Session, 
2021-11-15,12:00 AM, , , , ,Pasquale Grasso & Ari Roland,Miki Yamanaka Trio  & Jam Session, 
2021-11-16,07:30 PM, , , , ,"Naama Gheber, Jeb Patton & Neal Miner",Ben Solomon Quartet, 
2021-11-16,08:00 PM,Christian Scott aTunde Adjuah, , , , , , 
2021-11-16,08:30 PM, , , ,Mingus Big Band, , , 
2021-11-16,09:00 PM, , , , ,"Naama Gheber, Jeb Patton & Neal Miner",Ben Solomon Quartet, 
2021-11-16,10:30 PM,Christian Scott aTunde Adjuah, , ,Mingus Big Band,"JOHN MERRILL, PAUL ODEH & DANIEL DUKE",David Gibson Quartet & Jam session, 
2021-11-16,12:00 AM, , , , ,"JOHN MERRILL, PAUL ODEH & DANIEL DUKE",David Gibson Quartet & Jam session, 
2021-11-17,07:00 PM, ,  Ehud Asherie Trio, ,Emily Braden, , , 
2021-11-17,07:30 PM, , , , ,"A Bu,  Philip Norris & Cameron MacIntosh",Todd Bashore Quartet, 
2021-11-17,08:00 PM,Christian Scott aTunde Adjuah, , , , , , EMMET COHEN FEATURING RON CARTER
2021-11-17,09:00 PM, , , ,Richard Cortez,"A Bu,  Philip Norris & Cameron MacIntosh",Todd Bashore Quartet, 
2021-11-17,10:00 PM, , , , , , , EMMET COHEN FEATURING RON CARTER
2021-11-17,10:30 PM,Christian Scott aTunde Adjuah, , , ,John Chin quartet,Benny Benack Quintet & Jam Session, 
2021-11-17,12:00 AM, , , , ,John Chin quartet,Benny Benack Quintet & Jam Session, 
2021-11-18,07:00 PM, ,  Martin Wind Quartet, ,Closed for Private Event, , , 
2021-11-18,07:30 PM, , , , ,Arcoiris Sandoval & Steve Wilson,Davy Mooney Quartet, 
2021-11-18,08:00 PM,Christian Scott aTunde Adjuah, , , , , , EMMET COHEN FEATURING RON CARTER
2021-11-18,09:00 PM, , , , ,Arcoiris Sandoval & Steve Wilson,Davy Mooney Quartet, 
2021-11-18,10:00 PM, , , ,Ian Hendrickson-Smith, , , EMMET COHEN FEATURING RON CARTER
2021-11-18,10:30 PM,Christian Scott aTunde Adjuah, , , ,David Wong & Jeb Patton,Greg Glassman Quartet  & JAM SESSION, 
2021-11-18,12:00 AM, , , , ,David Wong & Jeb Patton,Greg Glassman Quartet  & JAM SESSION, 
2021-11-19,07:00 PM, ,  Ed Cherry Trio, , , , , 
2021-11-19,07:30 PM, , ,Young Stars of Jazz, ,"Martin Wind,  Scott Robinson & Gary Versace",Duduka da Fonseca Trio, 
2021-11-19,08:00 PM,Christian Scott aTunde Adjuah, , , , , , EMMET COHEN FEATURING RON CARTER
2021-11-19,09:00 PM, , , , ,"Martin Wind,  Scott Robinson & Gary Versace",Duduka da Fonseca Trio, 
2021-11-19,09:30 PM, , ,Young Stars of Jazz, , , , 
2021-11-19,10:00 PM, , , , , , , EMMET COHEN FEATURING RON CARTER
2021-11-19,10:30 PM,Christian Scott aTunde Adjuah, , , ,"Nick Masters , James Robbins & Nic Caccioppo",Philip Harper Quintet & Jam Session, 
2021-11-19,11:30 PM, ,  Pete Malinverni Quartet, , , , , 
2021-11-19,12:00 AM, , , , ,"Nick Masters , James Robbins & Nic Caccioppo",Philip Harper Quintet & Jam Session, 
2021-11-20,07:00 PM, ,  Nick Biello Quartet, ,Mike King, , , 
2021-11-20,07:30 PM, , ,Riley Mulherkar Septet, ,"David Berkman, Massimo Bolcati  & Anthony Pinciotti",Ken Fowser Quintet, 
2021-11-20,08:00 PM,Christian Scott aTunde Adjuah, , , , , , EMMET COHEN FEATURING RON CARTER
2021-11-20,09:00 PM, , , , ,"David Berkman, Massimo Bolcati  & Anthony Pinciotti",Ken Fowser Quintet, 
2021-11-20,09:30 PM, , ,Riley Mulherkar Septet, , , , 
2021-11-20,10:00 PM, , , ,Mike Ledonne Quartet, , , EMMET COHEN FEATURING RON CARTER
2021-11-20,10:30 PM,Christian Scott aTunde Adjuah, , , ,Thomas Linger Trio,Stacy Dillard Quartet & Jam Session, 
2021-11-20,11:30 PM, ,  James Austin Quartet, , , , , 
2021-11-20,12:00 AM, , , , ,Thomas Linger Trio,Stacy Dillard Quartet & Jam Session, 
2021-11-21,07:00 PM, ,  Ned Goold Quartet, , , , , 
2021-11-21,07:30 PM, , ,Riley Mulherkar Septet, ,"Alan Broadbent, Harvie S & Billy Mintz",Bruce Harris Quintet, 
2021-11-21,08:00 PM,Christian Scott aTunde Adjuah, , , , , , EMMET COHEN FEATURING RON CARTER
2021-11-21,09:00 PM, , , , ,"Alan Broadbent, Harvie S & Billy Mintz",Bruce Harris Quintet, 
2021-11-21,09:30 PM, , ,Riley Mulherkar Septet, , , , 
2021-11-21,10:00 PM, , , , , , , EMMET COHEN FEATURING RON CARTER
2021-11-21,10:30 PM,Christian Scott aTunde Adjuah, , , ,Ari Roland  &  special guests,Stefano Doglioni Quartet & jam session, 
2021-11-21,12:00 AM, , , , ,Ari Roland  &  special guests,Stefano Doglioni Quartet & jam session, 
2021-11-22,07:30 PM, , , , ,"Spike wilner, Peter Washington & Joe Farnsworth",Victor Lewis Quintet, 
2021-11-22,08:00 PM,Dizzy Gillespie Afro-Latin Experience Residency, , , , , , VANGUARD JAZZ ORCHESTRA 
2021-11-22,09:00 PM, , , , ,"Spike wilner, Peter Washington & Joe Farnsworth",Victor Lewis Quintet, 
2021-11-22,10:00 PM, , , , , , , VANGUARD JAZZ ORCHESTRA 
2021-11-22,10:30 PM,Dizzy Gillespie Afro-Latin Experience Residency, , , ,Pasquale Grasso & Ari Roland,Jonathan Michel trio & Jam Session, 
2021-11-22,12:00 AM, , , , ,Pasquale Grasso & Ari Roland,Jonathan Michel trio & Jam Session, 
